,0
1,0.8284954182678096
2,0.8203759854457247
3,0.8032091690544413
4,0.8612358592462055
5,0.8730085430616485
6,0.7974170676120537
7,0.8152273700960891
8,0.8661887694145759
9,0.8383561643835616
10,0.814933243576798
11,0.83515731874145
12,0.8659496004917026
13,0.866171235870855
14,0.8674698795180723
15,0.8977421372917022
16,0.8630753835890593
17,0.9041188386225524
18,0.8647281921618205
19,0.8371514225917756
20,0.8529888785912882
21,0.8633318725349026
22,0.8043303005873546
23,0.8593181818181819
24,0.8802919708029197
25,0.8684576192681797
26,0.8718892393971258
27,0.8186859351369518
28,0.8753662109375
29,0.8453230935381293
30,0.8492667532949694
31,0.9198542805100182
32,0.8715404123938693
33,0.8717977654892224
34,0.8708175734652313
35,0.8915895761533346
36,0.8782437584552946
37,0.8677085226240233
38,0.8727795635256301
39,0.8897286155960151
40,0.8113058224985867
41,0.8520265103237319
42,0.8199756394640683
43,0.8237052984092812
44,0.815720324460185
45,0.8482833724995701
46,0.8716240333135039
47,0.8489330473072146
48,0.8685366282133864
49,0.8417409666823088
50,0.8479657387580299
51,0.9180327868852459
52,0.8330894832328671
53,0.83137347130762
54,0.8447636427856596
55,0.8041017594979267
56,0.7921284777199729
57,0.8489589530041642
58,0.8662935323383084
59,0.8208836325755254
60,0.8015594309862508
61,0.7951929385101688
62,0.8079212732353298
63,0.8779850095868921
64,0.8633705475810739
65,0.8579803780808806
66,0.8226751433557716
67,0.8556558403056855
68,0.8461685093404498
69,0.810828025477707
70,0.8451704545454546
71,0.8052499402056924
72,0.8729154686601495
73,0.8281001210114005
74,0.8420439090732466
75,0.8264887063655031
76,0.8051390568319227
77,0.8371394230769231
78,0.8068259385665529
79,0.7956910270534949
80,0.7920550782915982
81,0.7858376511226253
82,0.8147411596544653
83,0.7827175208581645
84,0.7978541531568708
85,0.8349065690618378
86,0.8431929733918884
87,0.7486278814489572
88,0.6785181786902168
89,0.6834507247220444
90,0.7584097859327217
91,0.7922077922077922
92,0.738734861990533
93,0.7555281758640815
94,0.7120313091781341
95,0.6850411453049262
96,0.6839154808106943
97,0.7516533637400228
98,0.783737517831669
99,0.8193794093775364
100,0.7891875566294171
101,0.7439865746783517
102,0.7397116949546617
103,0.7277696382283332
104,0.674496644295302
105,0.7515480370252154
107,0.8289042591918456
383,0.8393198318685517
385,0.7045478751730748
386,0.7590354917366567
387,0.8393285371702638
388,0.79292350770014
389,0.7508591065292096
390,0.8433734939759037
391,0.8139084507042254
392,0.827189354432656
393,0.7517642689117247
394,0.8080246913580247
395,0.8142013275683576
396,0.8075786546149835
397,0.805803705258109
398,0.7573149741824441
399,0.7709059233449478
400,0.8294488462205771
401,0.849454801266268
402,0.8341010994410663
403,0.7735545375758326
404,0.8211990803513529
405,0.8113435932906796
406,0.7802260532024203
407,0.8172723091076357
408,0.7879543214886093
409,0.7323742717869457
410,0.7687223296127704
411,0.8200045055192611
412,0.8106319620602184
413,0.7633892885691447
414,0.7724665391969407
415,0.7474186743643833
416,0.7390100380754586
417,0.7963907414672421
418,0.7897748950782144
419,0.7839586028460543
420,0.7093596059113301
421,0.7599243856332704
422,0.7613267761849953
423,0.7724160417345941
425,0.7061489733508082
426,0.7781308206420511
427,0.721436343852013
428,0.7289330342838833
429,0.7531408419660569
430,0.767301085237498
431,0.752397751074854
432,0.7986325540361712
433,0.7518175809649703
434,0.7079788087975598
435,0.7578703947022652
439,0.8034717916924985
455,0.7864768683274022
456,0.7163020808071009
457,0.748120485479829
458,0.7790243661345327
459,0.6977434679334917
460,0.7490165979084716
461,0.6894174422612892
462,0.6925067075507857
467,0.7229099219196343
471,0.7320112236648119
472,0.7232519554396777
473,0.7399649305720108
474,0.7137385204670267
475,0.7088037166085946
476,0.7358694122613632
477,0.7150459147633623
478,0.7292360384359242
479,0.7146186835726273
480,0.7040712232217379
481,0.7249598032724865
482,0.6993491015768244
483,0.7151520806120545
484,0.7218533691199321
485,0.7184498022226408
486,0.7222909333079631
487,0.7112820512820512
488,0.7255582660911991
489,0.7193468161982075
490,0.7218533691199321
491,0.7193468161982075
492,0.7088037166085946
493,0.6907034942997498
494,0.7218533691199321
495,0.7364761904761905
496,0.7169956668271545
497,0.7184558788399981
498,0.7190254017625712
499,0.7289188285318428
500,0.716829543318925
501,0.716829543318925
502,0.7273237854535243
